Driver,ActualPosition,Pred_balanced,Pred_top1,Pred_top5,Pred_top10,Error_balanced,AbsError_balanced,Error_top1,AbsError_top1,Error_top5,AbsError_top5,Error_top10,AbsError_top10
M VERSTAPPEN,1,3,3,3,3,2,2,2,2,2,2,2,2
O PIASTRI,2,1,1,1,1,-1,1,-1,1,-1,1,-1,1
C SAINZ,3,7,7,7,7,4,4,4,4,4,4,4,4
L NORRIS,4,2,2,2,2,-2,2,-2,2,-2,2,-2,2
K ANTONELLI,5,5,5,5,5,0,0,0,0,0,0,0,0
G RUSSELL,6,4,4,4,4,-2,2,-2,2,-2,2,-2,2
F ALONSO,7,10,10,10,10,3,3,3,3,3,3,3,3
C LECLERC,8,8,8,8,8,0,0,0,0,0,0,0,0
L LAWSON,9,12,12,12,12,3,3,3,3,3,3,3,3
Y TSUNODA,10,16,16,16,16,6,6,6,6,6,6,6,6
A ALBON,11,14,14,14,14,3,3,3,3,3,3,3,3
L HAMILTON,12,18,18,18,18,6,6,6,6,6,6,6,6
G BORTOLETO,13,13,13,13,13,0,0,0,0,0,0,0,0
F COLAPINTO,14,20,20,20,20,6,6,6,6,6,6,6,6
E OCON,15,17,17,17,17,2,2,2,2,2,2,2,2
P GASLY,16,11,11,11,11,-5,5,-5,5,-5,5,-5,5
L STROLL,17,19,19,19,19,2,2,2,2,2,2,2,2
I HADJAR,18,6,6,6,6,-12,12,-12,12,-12,12,-12,12
O BEARMAN,19,15,15,15,15,-4,4,-4,4,-4,4,-4,4
N HULKENBERG,20,9,9,9,9,-11,11,-11,11,-11,11,-11,11
