Driver,DriverCode,Team,TotalPoints,CurrentRank
L NORRIS,NOR,McLaren,367.0,1
O PIASTRI,PIA,McLaren,345.0,2
M VERSTAPPEN,VER,Red Bull Racing,329.0,3
G RUSSELL,RUS,Mercedes,280.0,4
C LECLERC,LEC,Ferrari,224.0,5
L HAMILTON,HAM,Ferrari,131.0,6
K ANTONELLI,ANT,Mercedes,113.0,7
A ALBON,ALB,Williams,66.0,8
I HADJAR,HAD,Racing Bulls,50.0,9
L LAWSON,LAW,Racing Bulls,44.0,10
F ALONSO,ALO,Aston Martin,41.0,11
C SAINZ,SAI,Williams,39.0,12
O BEARMAN,BEA,Haas F1 Team,39.0,13
N HULKENBERG,HUL,Kick Sauber,36.0,14
E OCON,OCO,Haas F1 Team,29.0,15
G BORTOLETO,BOR,Kick Sauber,23.0,16
L STROLL,STR,Aston Martin,22.0,17
Y TSUNODA,TSU,Red Bull Racing,20.0,18
P GASLY,GAS,Alpine,12.0,19
F COLAPINTO,COL,Alpine,0.0,20
