Round,Race,Date,TrackType,Driver,DriverCode,DriverNumber,Team,GridPosition,Position,Points,Status,Time,QualifyingPosition,Season,GlobalRound,TrackTypeIdx,TierCode,DriverIdx,EffectivePosition,Recent5Avg,IsDNF,CumDNFRate
0,Pre-Season Testing,2025-02-28,balanced,A ALBON,ALB,23,Williams,20.0,14.0,0.0,Lapped,0 days 00:00:25.320000,19.0,2025,1,1,1,13,14.0,8.466666666666667,1,0.375
1,Australian Grand Prix,2025-03-16,balanced,A ALBON,ALB,23,Williams,6.0,5.0,10.0,Finished,0 days 00:00:12.773000,6.0,2025,2,1,1,13,5.0,14.0,0,1.0
2,Chinese Grand Prix,2025-03-23,balanced,A ALBON,ALB,23,Williams,10.0,7.0,6.0,Finished,0 days 00:00:56.321000,10.0,2025,3,1,1,13,7.0,9.5,0,0.5
3,Japanese Grand Prix,2025-04-06,balanced,A ALBON,ALB,23,Williams,9.0,9.0,2.0,Finished,0 days 00:00:40.367000,9.0,2025,4,1,1,13,9.0,8.666666666666666,0,0.3333333333333333
4,Bahrain Grand Prix,2025-04-13,high_speed,A ALBON,ALB,23,Williams,15.0,12.0,0.0,Finished,0 days 00:00:48.839000,15.0,2025,5,0,1,13,12.0,8.75,0,0.25
5,Saudi Arabian Grand Prix,2025-04-20,balanced,A ALBON,ALB,23,Williams,11.0,9.0,2.0,Finished,0 days 00:01:06.515000,11.0,2025,6,1,1,13,9.0,9.4,0,0.2
6,Miami Grand Prix,2025-05-04,high_speed,A ALBON,ALB,23,Williams,7.0,5.0,10.0,Finished,0 days 00:00:48.067000,7.0,2025,7,0,1,13,5.0,8.4,0,0.16666666666666666
7,Emilia Romagna Grand Prix,2025-05-18,balanced,A ALBON,ALB,23,Williams,7.0,5.0,10.0,Finished,0 days 00:00:17.945000,7.0,2025,8,1,1,13,5.0,8.4,0,0.14285714285714285
8,Monaco Grand Prix,2025-05-25,technical,A ALBON,ALB,23,Williams,10.0,9.0,2.0,Lapped,0 days 00:00:11.869000,10.0,2025,9,2,1,13,9.0,8.0,1,0.125
9,Spanish Grand Prix,2025-06-01,balanced,A ALBON,ALB,23,Williams,11.0,19.0,0.0,Retired,,11.0,2025,10,1,1,13,19.0,8.0,1,0.2222222222222222
10,Canadian Grand Prix,2025-06-15,balanced,A ALBON,ALB,23,Williams,9.0,20.0,0.0,Retired,,10.0,2025,11,1,1,13,20.0,9.4,1,0.3
11,Austrian Grand Prix,2025-06-29,balanced,A ALBON,ALB,23,Williams,12.0,17.0,0.0,Retired,,12.0,2025,12,1,1,13,17.0,11.6,1,0.36363636363636365
12,British Grand Prix,2025-07-06,balanced,A ALBON,ALB,23,Williams,13.0,8.0,4.0,Finished,0 days 00:01:04.135000,14.0,2025,13,1,1,13,8.0,14.0,0,0.4166666666666667
13,Belgian Grand Prix,2025-07-27,balanced,A ALBON,ALB,23,Williams,5.0,6.0,8.0,Finished,0 days 00:00:39.926000,5.0,2025,14,1,1,13,6.0,14.6,0,0.38461538461538464
14,Hungarian Grand Prix,2025-08-03,balanced,A ALBON,ALB,23,Williams,19.0,15.0,0.0,Lapped,0 days 00:00:38.111000,20.0,2025,15,1,1,13,15.0,14.0,1,0.35714285714285715
15,Dutch Grand Prix,2025-08-31,balanced,A ALBON,ALB,23,Williams,15.0,5.0,10.0,Finished,0 days 00:00:06.327000,15.0,2025,16,1,1,13,5.0,13.2,0,0.4
16,Italian Grand Prix,2025-09-07,balanced,A ALBON,ALB,23,Williams,14.0,7.0,6.0,Finished,0 days 00:00:50.537000,14.0,2025,17,1,1,13,7.0,10.2,0,0.375
17,Azerbaijan Grand Prix,2025-09-21,high_speed,A ALBON,ALB,23,Williams,19.0,13.0,0.0,Finished,0 days 00:01:12.870000,19.0,2025,18,0,1,13,13.0,8.2,0,0.35294117647058826
18,Singapore Grand Prix,2025-10-05,technical,A ALBON,ALB,23,Williams,20.0,14.0,0.0,Lapped,0 days 00:00:25.320000,19.0,2025,19,2,1,13,14.0,9.2,1,0.3333333333333333
19,United States Grand Prix,2025-10-19,balanced,A ALBON,ALB,23,Williams,18.0,14.0,0.0,Finished,0 days 00:01:20,19.0,2025,20,1,1,13,14.0,10.8,0,0.3684210526315789
20,Mexico City Grand Prix,2025-10-26,balanced,A ALBON,ALB,23,Williams,17.0,12.0,0.0,Lapped,0 days 00:00:02.450000,17.0,2025,21,1,1,13,12.0,10.6,1,0.35
21,São Paulo Grand Prix,2025-11-09,balanced,A ALBON,ALB,23,Williams,12.0,11.0,0.0,Finished,0 days 00:00:54.184000,12.0,2025,22,1,1,13,11.0,12.0,0,0.38095238095238093
22,Las Vegas Grand Prix,2025-11-22,balanced,A ALBON,ALB,23,Williams,16.0,16.0,0.0,Retired,,16.0,2025,23,1,1,13,16.0,12.8,1,0.36363636363636365
23,Qatar Grand Prix,2025-11-30,high_speed,A ALBON,ALB,23,Williams,14.0,11.0,0.0,Finished,0 days 00:01:06.931000,15.0,2025,24,0,1,13,11.0,13.4,0,0.391304347826087
1,Australian Grand Prix,2025-03-16,balanced,A ANTONELLI,ANT,12,Mercedes,16.0,4.0,12.0,Finished,0 days 00:00:10.135000,16.0,2025,2,1,0,20,4.0,4.0,0,0.0
0,Pre-Season Testing,2025-02-28,balanced,C LECLERC,LEC,16,Ferrari,7.0,6.0,8.0,Finished,0 days 00:00:45.996000,7.0,2025,1,1,1,5,6.0,5.142857142857143,0,0.125
1,Australian Grand Prix,2025-03-16,balanced,C LECLERC,LEC,16,Ferrari,7.0,8.0,4.0,Finished,0 days 00:00:19.826000,7.0,2025,2,1,1,5,8.0,6.0,0,0.0
2,Chinese Grand Prix,2025-03-23,balanced,C LECLERC,LEC,16,Ferrari,6.0,18.0,0.0,Disqualified,,6.0,2025,3,1,1,5,18.0,7.0,1,0.0
3,Japanese Grand Prix,2025-04-06,balanced,C LECLERC,LEC,16,Ferrari,4.0,4.0,12.0,Finished,0 days 00:00:16.097000,4.0,2025,4,1,1,5,4.0,10.666666666666666,0,0.3333333333333333
4,Bahrain Grand Prix,2025-04-13,high_speed,C LECLERC,LEC,16,Ferrari,2.0,4.0,12.0,Finished,0 days 00:00:19.679000,3.0,2025,5,0,1,5,4.0,9.0,0,0.25
5,Saudi Arabian Grand Prix,2025-04-20,balanced,C LECLERC,LEC,16,Ferrari,4.0,3.0,15.0,Finished,0 days 00:00:08.104000,4.0,2025,6,1,1,5,3.0,8.0,0,0.2
6,Miami Grand Prix,2025-05-04,high_speed,C LECLERC,LEC,16,Ferrari,8.0,7.0,6.0,Finished,0 days 00:00:57.036000,8.0,2025,7,0,1,5,7.0,7.4,0,0.16666666666666666
7,Emilia Romagna Grand Prix,2025-05-18,balanced,C LECLERC,LEC,16,Ferrari,11.0,6.0,8.0,Finished,0 days 00:00:20.774000,11.0,2025,8,1,1,5,6.0,7.2,0,0.14285714285714285
8,Monaco Grand Prix,2025-05-25,technical,C LECLERC,LEC,16,Ferrari,2.0,2.0,18.0,Finished,0 days 00:00:03.131000,2.0,2025,9,2,1,5,2.0,4.8,0,0.125
9,Spanish Grand Prix,2025-06-01,balanced,C LECLERC,LEC,16,Ferrari,7.0,3.0,15.0,Finished,0 days 00:00:10.455000,7.0,2025,10,1,1,5,3.0,4.4,0,0.1111111111111111
10,Canadian Grand Prix,2025-06-15,balanced,C LECLERC,LEC,16,Ferrari,8.0,5.0,10.0,Finished,0 days 00:00:03.442000,8.0,2025,11,1,1,5,5.0,4.2,0,0.1
11,Austrian Grand Prix,2025-06-29,balanced,C LECLERC,LEC,16,Ferrari,2.0,3.0,15.0,Finished,0 days 00:00:19.820000,2.0,2025,12,1,1,5,3.0,4.6,0,0.09090909090909091
12,British Grand Prix,2025-07-06,balanced,C LECLERC,LEC,16,Ferrari,6.0,14.0,0.0,Finished,0 days 00:01:24.477000,6.0,2025,13,1,1,5,14.0,3.8,0,0.08333333333333333
13,Belgian Grand Prix,2025-07-27,balanced,C LECLERC,LEC,16,Ferrari,3.0,3.0,15.0,Finished,0 days 00:00:20.185000,3.0,2025,14,1,1,5,3.0,5.4,0,0.07692307692307693
14,Hungarian Grand Prix,2025-08-03,balanced,C LECLERC,LEC,16,Ferrari,1.0,4.0,12.0,Finished,0 days 00:00:42.560000,1.0,2025,15,1,1,5,4.0,5.6,0,0.07142857142857142
