Driver,Team,TotalPoints,TotalRaces,FinishedRaces,DNFRate,AvgPosition,Recent5Avg,HighSpeedAvg,HighSpeedRaces,BalancedAvg,BalancedRaces,TechnicalAvg,TechnicalRaces
M VERSTAPPEN,Red Bull Racing,720.0,46,43,0.06521739130434778,3.116279069767442,2.0,2.8823529411764706,17,3.3846153846153846,13,3.1538461538461537,13
L NORRIS,McLaren,696.0,46,41,0.10869565217391308,2.926829268292683,1.75,4.1875,16,2.1538461538461537,13,2.0833333333333335,12
O PIASTRI,McLaren,616.0,46,44,0.04347826086956519,4.045454545454546,4.75,3.7333333333333334,15,5.333333333333333,15,3.0,14
C LECLERC,Ferrari,551.0,46,42,0.08695652173913049,4.0476190476190474,3.75,3.75,16,4.153846153846154,13,4.3076923076923075,13
G RUSSELL,Mercedes,531.0,46,43,0.06521739130434778,4.395348837209302,4.0,4.1875,16,4.142857142857143,14,4.923076923076923,13
L HAMILTON,Ferrari,325.0,46,40,0.13043478260869568,6.175,7.0,6.8125,16,5.583333333333333,12,5.916666666666667,12
C SAINZ,Williams,305.0,45,32,0.28888888888888886,6.40625,9.0,6.857142857142857,14,5.25,8,6.7,10
S PEREZ,Red Bull Racing,144.0,24,17,0.29166666666666663,6.117647058823529,10.5,5.142857142857143,7,7.6,5,6.0,5
K ANTONELLI,Mercedes,113.0,21,15,0.2857142857142857,7.466666666666667,5.8,7.625,8,6.0,4,9.0,3
F ALONSO,Aston Martin,107.0,46,29,0.3695652173913043,9.586206896551724,10.5,10.142857142857142,14,9.625,8,8.428571428571429,7
A ALBON,Williams,76.0,46,19,0.5869565217391304,9.31578947368421,12.5,9.846153846153847,13,10.0,3,6.333333333333333,3
N HULKENBERG,Kick Sauber,72.0,46,24,0.4782608695652174,10.041666666666666,8.0,11.444444444444445,9,8.181818181818182,11,12.0,4
P GASLY,Alpine,53.0,46,22,0.5217391304347826,10.454545454545455,11.5,10.88888888888889,9,8.777777777777779,9,13.25,4
E OCON,Haas F1 Team,52.0,45,22,0.5111111111111111,11.181818181818182,11.25,10.7,10,11.0,9,13.333333333333334,3
I HADJAR,Racing Bulls,50.0,22,13,0.40909090909090906,9.384615384615385,10.0,10.142857142857142,7,10.333333333333334,3,6.666666666666667,3
L LAWSON,Racing Bulls,48.0,28,19,0.3214285714285714,10.894736842105264,9.0,12.125,8,8.833333333333334,6,11.4,5
Y TSUNODA,Red Bull Racing,48.0,46,22,0.5217391304347826,10.727272727272727,11.75,10.8,10,11.0,8,10.0,4
O BEARMAN,Haas F1 Team,46.0,25,19,0.24,10.368421052631579,7.6,10.333333333333334,9,10.333333333333334,6,10.5,4
L STROLL,Aston Martin,40.0,45,19,0.5777777777777777,11.578947368421053,14.0,13.88888888888889,9,9.4,5,9.6,5
G BORTOLETO,Kick Sauber,23.0,22,10,0.5454545454545454,12.6,10.0,11.5,4,11.0,2,14.5,4
K MAGNUSSEN,Haas F1 Team,18.0,22,12,0.4545454545454546,11.5,9.75,13.142857142857142,7,9.5,4,8.0,1
A ANTONELLI,Mercedes,12.0,1,1,0.0,4.0,4.0,4.0,0,4.0,1,4.0,0
D RICCIARDO,RB,9.0,18,7,0.6111111111111112,11.0,12.0,12.75,4,8.5,2,9.0,1
F COLAPINTO,Alpine,5.0,25,9,0.64,13.333333333333334,15.0,13.25,4,13.333333333333334,3,13.5,2
G ZHOU,Kick Sauber,4.0,24,6,0.75,13.0,12.0,12.6,5,15.0,1,13.0,0
L SARGEANT,Williams,0.0,14,2,0.8571428571428572,17.0,17.0,17.0,2,17.0,0,17.0,0
J DOOHAN,Alpine,0.0,7,3,0.5714285714285714,14.0,14.0,13.5,2,14.0,0,15.0,1
V BOTTAS,Kick Sauber,0.0,24,5,0.7916666666666666,13.6,12.0,14.0,3,13.0,2,13.6,0
