Driver,DriverCode,Team,TotalPoints,CurrentRank
M VERSTAPPEN,VER,Red Bull Racing,720.0,1
L NORRIS,NOR,McLaren,696.0,2
O PIASTRI,PIA,McLaren,616.0,3
C LECLERC,LEC,Ferrari,551.0,4
G RUSSELL,RUS,Mercedes,531.0,5
L HAMILTON,HAM,Mercedes,325.0,6
C SAINZ,SAI,Ferrari,305.0,7
S PEREZ,PER,Red Bull Racing,144.0,8
F ALONSO,ALO,Aston Martin,107.0,9
A ALBON,ALB,Williams,76.0,10
N HULKENBERG,HUL,Haas F1 Team,72.0,11
P GASLY,GAS,Alpine,53.0,12
Y TSUNODA,TSU,RB,48.0,13
L LAWSON,LAW,RB,48.0,14
L STROLL,STR,Aston Martin,40.0,15
K MAGNUSSEN,MAG,Haas F1 Team,18.0,16
F COLAPINTO,COL,Williams,5.0,17
G ZHOU,ZHO,Kick Sauber,4.0,18
J DOOHAN,DOO,Alpine,0.0,19
V BOTTAS,BOT,Kick Sauber,0.0,20
