PredictedRank,Driver,Mode,ModeProb,AdjustedMode,Mean,Median,Q25,Q75,CI_2.5,CI_97.5,P_Win,P_Top10
1,O PIASTRI,2,0.22881,2.0,3.430678000000001,3,2,4,1,11,0.22598,0.9713620000000002
2,L NORRIS,2,0.178854,2.0,4.307442,3,2,5,1,15,0.178848,0.9360560000000001
3,M VERSTAPPEN,1,0.142728,3.0992280000000005,5.198456000000001,4,2,7,1,16,0.142728,0.891234
4,G RUSSELL,4,0.118548,5.057125,6.11425,5,3,9,1,17,0.112982,0.8392480000000001
5,K ANTONELLI,5,0.10353,6.038073,7.076146,6,3,10,1,18,0.086812,0.77888
6,I HADJAR,5,0.08884,6.4946909999999995,7.989382,7,4,11,1,18,0.065164,0.7155360000000001
7,C SAINZ,7,0.083866,7.91353,8.82706,8,5,12,1,18,0.049592,0.6521180000000001
8,F ALONSO,7,0.078622,8.287970000000001,9.575940000000003,9,6,13,1,19,0.036996,0.593234
9,C LECLERC,8,0.073116,9.42128,10.84256,11,7,15,2,19,0.020778,0.48525000000000007
10,N HULKENBERG,8,0.071102,9.697243,11.394486000000002,11,8,15,2,20,0.01528,0.437212
11,P GASLY,10,0.074702,10.126835,10.25367,10,6,14,1,19,0.028424,0.536248
12,L LAWSON,12,0.071318,11.949774999999999,11.89955,12,8,16,3,20,0.011448,0.392748
13,G BORTOLETO,14,0.0748,13.409887000000001,12.819774000000002,13,9,17,4,20,0.00599,0.313498
14,A ALBON,14,0.079436,13.633576,13.267152,14,10,17,5,20,0.004184,0.27642
15,O BEARMAN,15,0.072434,13.678608,12.357216000000001,13,9,16,3,20,0.008386,0.353046
16,Y TSUNODA,17,0.087808,15.367460000000001,13.73492,14,11,17,6,20,0.002756,0.240446
17,E OCON,19,0.099248,16.614467,14.228934,15,11,18,6,20,0.001798,0.20440399999999997
18,L HAMILTON,20,0.12253,17.386481,14.772961999999998,15,12,18,6,20,0.001118,0.169188
19,L STROLL,20,0.160118,20.0,15.474806,17,13,19,6,20,0.000536,0.128982
20,F COLAPINTO,20,0.22645,20.0,16.434616,17,14,19,8,20,0.0002,0.08489000000000001
