PredictedRank,Driver,Mode,Mean,AvgPoints,MedianPoints,Stability,CompositeScore
1,O PIASTRI,2,3.6992560000000005,15.174594,15.0,0.24340747026727966,29.674417902672793
2,L NORRIS,2,4.644364,13.122642,12.0,0.21025274914498898,28.13659259144989
3,M VERSTAPPEN,1,5.512936,11.44586,12.0,0.19146897312936806,27.52786273129368
4,G RUSSELL,4,6.355370000000001,9.933376,10.0,0.18007351819781808,24.55864173197818
5,K ANTONELLI,5,7.191328000000001,8.563652,8.0,0.17240940367827928,22.923609636782793
6,F ALONSO,7,9.467478,5.286276,2.0,0.16550142150010322,19.198723265001032
7,P GASLY,6,10.11394,4.481648,1.0,0.1664263619206627,19.187545519206626
8,I HADJAR,10,8.00229,7.320434,6.0,0.16803941919417015,18.8750931419417
9,C SAINZ,10,8.76572,6.228662,4.0,0.1658945025541144,18.048968625541143
10,C LECLERC,8,10.716842000000002,3.791856,0.0,0.16791093510559696,17.36863990105597
11,N HULKENBERG,8,11.250878,3.21552,0.0,0.17019745520668586,16.88483180206686
12,O BEARMAN,11,12.244264,2.287972,0.0,0.17554637878835527,14.164190387883554
13,L LAWSON,12,11.770295999999998,2.705468,0.0,0.17290798051721018,13.934285205172102
14,G BORTOLETO,14,12.733400000000001,1.891018,0.0,0.1791304076912953,11.900234476912951
15,A ALBON,14,13.193473999999998,1.568694,0.0,0.18239135837508472,11.54860053375085
16,Y TSUNODA,17,13.663336000000001,1.282574,0.0,0.18587863331827678,9.328973533182769
17,E OCON,19,14.161356,1.022096,0.0,0.19000380642034453,7.7308193642034455
18,L HAMILTON,19,14.73228,0.784632,0.0,0.19471560899800328,7.349870689980033
19,L STROLL,20,15.412678,0.55921,0.0,0.20157777304680108,6.3006169804680106
20,F COLAPINTO,20,16.368514,0.333816,0.0,0.21452447159160395,5.765068265916039
