Driver,Mean,Median,Mode,Q25,Q75,CI_2.5,CI_97.5
L NORRIS,4.010850023930533,2.6175300277288125,1.057057057057057,1.0,6.211597759112158,1.0,12.998144558563952
O PIASTRI,4.106518650371251,2.768562773959572,1.057057057057057,1.0,6.3013643853563055,1.0,13.097022362884195
G RUSSELL,5.087117369354675,4.257003018024224,1.095095095095095,1.0,7.782862232898423,1.0,14.573602761727917
K ANTONELLI,6.085851087108132,5.513048722026726,1.1331331331331331,1.924918792883228,9.073665848931633,1.0,16.006190964491495
M VERSTAPPEN,6.1401079768081415,5.635109987241368,1.1141141141141142,2.0338545529272514,9.193137416450346,1.0,15.783352914574158
C LECLERC,7.731512031816437,7.457581342376477,1.1901901901901901,3.9022689233995482,11.028384217466545,1.0,17.75081173057775
C SAINZ,8.784653995852718,8.593472326856995,8.417417417417418,5.000255235730937,12.24845944895037,1.0,19.21817599015259
I HADJAR,10.31454531567822,10.300064704143843,10.71871871871872,6.704847407784666,13.87241931552784,1.0,20.0
F ALONSO,11.001269420907876,10.97665303603235,10.71871871871872,7.510320264399326,14.511740164908073,1.0,20.0
L HAMILTON,11.978443134882522,12.095487960103188,12.487487487487488,8.520202393162892,15.71289832612767,1.765887734257579,20.0
L LAWSON,12.201903733862899,12.352033810489177,12.221221221221223,8.85332396287537,15.871136643368908,1.9917060570530436,20.0
P GASLY,12.794391102489381,13.02220778721037,13.191191191191193,9.42419072601011,16.588352583333823,2.5150044514934375,20.0
N HULKENBERG,13.146557005689857,13.409986732687834,19.80980980980981,9.789767466388355,16.986813450552464,3.1078964485217644,20.0
O BEARMAN,13.420032902748313,13.670138194454452,19.82882882882883,10.123449719213852,17.32103443049214,3.347249386282444,20.0
A ALBON,13.591369540734883,13.886291786265271,19.82882882882883,10.295894586850597,17.514889310176756,3.56072811248412,20.0
Y TSUNODA,14.224749411142945,14.631275599194094,19.84784784784785,11.047565814762558,18.216569383297497,4.394984077396367,20.0
G BORTOLETO,14.419925044318319,14.922251827437911,19.84784784784785,11.291736989798862,18.48317792971213,4.340953851258205,20.0
E OCON,15.771221781776088,16.57687880725762,19.904904904904907,13.012861536752053,20.0,6.342646245509999,20.0
L STROLL,16.88608454559257,18.219900211024804,19.942942942942945,14.677150930346286,20.0,7.867304301742417,20.0
F COLAPINTO,17.062798021944516,18.44064562317963,19.942942942942945,15.004544810486893,20.0,8.278711186440654,20.0
