,Driver,QualifyingPosition,GridPosition,Team,TrackType,GlobalRound,TrackTypeIdx,TierCode,DriverIdx,Recent5Avg,CumDNFRate
0,O PIASTRI,1,1,McLaren,high_speed,1,0,0,19,4.25,0.0833333333333333
1,L NORRIS,2,2,McLaren,high_speed,1,0,0,14,2.0,0.125
2,M VERSTAPPEN,3,3,Red Bull Racing,high_speed,1,0,0,16,1.8,0.0416666666666666
3,G RUSSELL,4,4,Mercedes,high_speed,1,0,0,8,5.0,0.0416666666666666
4,K ANTONELLI,5,5,Mercedes,high_speed,1,0,0,11,5.8,0.2608695652173913
5,I HADJAR,6,6,Racing Bulls,high_speed,1,0,2,9,10.0,0.4583333333333333
6,C SAINZ,7,7,Williams,high_speed,1,0,1,3,7.0,0.4166666666666666
7,F ALONSO,8,8,Aston Martin,high_speed,1,0,2,5,10.5,0.2916666666666666
8,P GASLY,9,9,Alpine,high_speed,1,0,2,20,11.5,0.5416666666666667
9,C LECLERC,10,10,Ferrari,high_speed,1,0,1,2,4.25,0.125
10,N HULKENBERG,11,11,Kick Sauber,high_speed,1,0,2,17,8.0,0.5
11,L LAWSON,12,12,Racing Bulls,high_speed,1,0,2,13,9.0,0.375
12,O BEARMAN,13,13,Haas F1 Team,high_speed,1,0,2,18,7.25,0.25
13,G BORTOLETO,14,14,Kick Sauber,high_speed,1,0,2,7,11.5,0.5416666666666667
14,A ALBON,15,15,Williams,high_speed,1,0,1,0,12.0,0.375
15,Y TSUNODA,16,16,Red Bull Racing,high_speed,1,0,0,21,11.4,0.375
16,E OCON,17,17,Haas F1 Team,high_speed,1,0,2,4,11.25,0.375
17,L HAMILTON,18,18,Ferrari,high_speed,1,0,1,12,8.0,0.1666666666666666
18,L STROLL,19,19,Aston Martin,high_speed,1,0,2,15,14.0,0.5217391304347826
19,F COLAPINTO,20,20,Alpine,high_speed,1,0,2,6,15.0,0.7222222222222222
