Round,Race,Date,TrackType,Driver,DriverCode,DriverNumber,Team,GridPosition,Position,Points,Status,Time,QualifyingPosition,Season,GlobalRound,TrackTypeIdx
1,Bahrain,2024-03-02,high_speed,M VERSTAPPEN,VER,1,Red Bull Racing,1.0,1.0,26.0,Finished,0 days 01:31:44.742000,1.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,S PEREZ,PER,11,Red Bull Racing,5.0,2.0,18.0,Finished,0 days 00:00:22.457000,5.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,C SAINZ,SAI,55,Ferrari,4.0,3.0,15.0,Finished,0 days 00:00:25.110000,4.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,C LECLERC,LEC,16,Ferrari,2.0,4.0,12.0,Finished,0 days 00:00:39.669000,2.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,G RUSSELL,RUS,63,Mercedes,3.0,5.0,10.0,Finished,0 days 00:00:46.788000,3.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,L NORRIS,NOR,4,McLaren,7.0,6.0,8.0,Finished,0 days 00:00:48.458000,7.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,L HAMILTON,HAM,44,Mercedes,9.0,7.0,6.0,Finished,0 days 00:00:50.324000,9.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,O PIASTRI,PIA,81,McLaren,8.0,8.0,4.0,Finished,0 days 00:00:56.082000,8.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,F ALONSO,ALO,14,Aston Martin,6.0,9.0,2.0,Finished,0 days 00:01:14.887000,6.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,L STROLL,STR,18,Aston Martin,12.0,10.0,1.0,Finished,0 days 00:01:33.216000,12.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,G ZHOU,ZHO,24,Kick Sauber,17.0,11.0,0.0,Lapped,0 days 00:00:06.759000,17.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,K MAGNUSSEN,MAG,20,Haas F1 Team,15.0,12.0,0.0,Lapped,0 days 00:00:08.316000,15.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,D RICCIARDO,RIC,3,RB,14.0,13.0,0.0,Lapped,0 days 00:00:08.958000,14.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,Y TSUNODA,TSU,22,RB,11.0,14.0,0.0,Lapped,0 days 00:00:09.482000,11.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,A ALBON,ALB,23,Williams,13.0,15.0,0.0,Lapped,0 days 00:00:11.886000,13.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,N HULKENBERG,HUL,27,Haas F1 Team,10.0,16.0,0.0,Lapped,0 days 00:00:17.632000,10.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,E OCON,OCO,31,Alpine,19.0,17.0,0.0,Lapped,0 days 00:00:31.450000,19.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,P GASLY,GAS,10,Alpine,20.0,18.0,0.0,Lapped,0 days 00:00:32.417000,20.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,V BOTTAS,BOT,77,Kick Sauber,16.0,19.0,0.0,Lapped,0 days 00:01:23.230000,16.0,2024,1,0
1,Bahrain,2024-03-02,high_speed,L SARGEANT,SAR,2,Williams,18.0,20.0,0.0,Lapped,0 days 00:00:20.795000,18.0,2024,1,0
2,Saudi Arabia,2024-03-09,high_speed,M VERSTAPPEN,VER,1,Red Bull Racing,1.0,1.0,25.0,Finished,0 days 01:20:43.273000,1.0,2024,2,0
2,Saudi Arabia,2024-03-09,high_speed,S PEREZ,PER,11,Red Bull Racing,3.0,2.0,18.0,Finished,0 days 00:00:13.643000,3.0,2024,2,0
2,Saudi Arabia,2024-03-09,high_speed,C LECLERC,LEC,16,Ferrari,2.0,3.0,16.0,Finished,0 days 00:00:18.639000,2.0,2024,2,0
2,Saudi Arabia,2024-03-09,high_speed,O PIASTRI,PIA,81,McLaren,5.0,4.0,12.0,Finished,0 days 00:00:32.007000,5.0,2024,2,0
2,Saudi Arabia,2024-03-09,high_speed,F ALONSO,ALO,14,Aston Martin,4.0,5.0,10.0,Finished,0 days 00:00:35.759000,4.0,2024,2,0
2,Saudi Arabia,2024-03-09,high_speed,G RUSSELL,RUS,63,Mercedes,7.0,6.0,8.0,Finished,0 days 00:00:39.936000,7.0,2024,2,0
2,Saudi Arabia,2024-03-09,high_speed,O BEARMAN,BEA,38,Ferrari,11.0,7.0,6.0,Finished,0 days 00:00:42.679000,11.0,2024,2,0
2,Saudi Arabia,2024-03-09,high_speed,L NORRIS,NOR,4,McLaren,6.0,8.0,4.0,Finished,0 days 00:00:45.708000,6.0,2024,2,0
