Round,Race,Date,TrackType,Driver,DriverCode,DriverNumber,Team,GridPosition,Position,Points,Status,Time,QualifyingPosition,Season,GlobalRound,EffectivePosition,Tier,TierCode,TrackTypeIdx,CumDNFRate,Recent5Avg,GridPosition_raw,QualifyingPosition_raw,DriverIdx
1,Bahrain,2024-03-02,high_speed,A ALBON,ALB,23,Williams,0.441615112300227,15.0,0.0,Lapped,0 days 00:00:11.886000,0.443425865149156,2024,1,21.0,lower,2,0,-0.9492894581280753,0.6368192367451826,13.0,13.0,0
1,Australia,2025-03-16,balanced,A ALBON,ALB,23,Williams,-0.7742455182230201,5.0,10.0,Finished,0 days 00:00:12.773000,-0.777420154323199,2025,25,5.0,lower,2,1,-0.9492894581280753,1.4692807347942785,6.0,6.0,0
2,Saudi Arabia,2024-03-09,high_speed,A ALBON,ALB,23,Williams,0.2679207365111917,11.0,0.0,Finished,0 days 00:01:28.354000,0.2690192909388196,2024,2,11.0,lower,2,0,-0.9492894581280753,0.08934455784802911,12.0,12.0,0
2,China,2025-03-23,high_speed,A ALBON,ALB,23,Williams,-0.07946801506687892,7.0,6.0,Finished,0 days 00:00:56.321000,-0.0797938574818533,2025,26,7.0,lower,2,0,-0.9492894581280753,-0.02565012356415823,10.0,10.0,0
3,Australia,2024-03-24,balanced,A ALBON,ALB,23,Williams,0.2679207365111917,11.0,0.0,Lapped,0 days 00:00:05.009000,0.2690192909388196,2024,3,21.0,lower,2,1,-0.9492894581280753,-0.25563948638853323,12.0,12.0,0
3,Japan,2025-04-06,technical,A ALBON,ALB,23,Williams,-0.25316239085591424,9.0,2.0,Finished,0 days 00:00:40.367000,-0.25420043169218975,2025,27,9.0,lower,2,2,-0.9492894581280753,0.08934455784802911,9.0,9.0,0
4,Japan,2024-04-07,technical,A ALBON,ALB,23,Williams,0.6153094880892622,20.0,0.0,Retired,,0.6178324393594924,2024,4,21.0,lower,2,2,0.4071420638661297,-0.32463629523584575,14.0,14.0,0
4,Bahrain,2025-04-13,high_speed,A ALBON,ALB,23,Williams,0.7890038638782976,12.0,0.0,Finished,0 days 00:00:48.839000,0.7922390135698288,2025,28,12.0,lower,2,0,0.2375881236168542,0.22733817554265418,15.0,15.0,0
5,China,2024-04-21,high_speed,A ALBON,ALB,23,Williams,0.6153094880892622,12.0,0.0,Finished,0 days 00:01:05.506000,0.6178324393594924,2024,5,12.0,lower,2,0,0.1057128367563064,0.26183657996631027,14.0,14.0,0
5,Saudi Arabia,2025-04-20,high_speed,A ALBON,ALB,23,Williams,0.09422636072215637,9.0,2.0,Finished,0 days 00:01:06.515000,0.09461271672848313,2025,29,9.0,lower,2,0,0.00021260726786833607,0.43432860208459145,11.0,11.0,0
6,Miami,2024-05-05,high_speed,A ALBON,ALB,23,Williams,0.6153094880892622,18.0,0.0,Finished,0 days 00:01:16.091000,0.6178324393594924,2024,6,18.0,lower,2,0,-0.08610576231358111,0.020347749000716585,14.0,14.0,0
6,Miami,2025-05-04,high_speed,A ALBON,ALB,23,Williams,-0.6005511424339848,5.0,10.0,Finished,0 days 00:00:48.067000,-0.6030135801128627,2025,30,5.0,lower,2,0,-0.158037736964789,0.33083338881362284,7.0,7.0,0
7,Emilia Romagna,2024-05-19,technical,A ALBON,ALB,23,Williams,0.6153094880892622,20.0,0.0,Retired,,0.6178324393594924,2024,7,21.0,lower,2,2,0.5114829501733764,-0.2211410819648771,14.0,14.0,0
7,Emilia Romagna,2025-05-18,technical,A ALBON,ALB,23,Williams,-0.6005511424339848,5.0,10.0,Finished,0 days 00:00:17.945000,-0.6030135801128627,2025,31,5.0,lower,2,2,0.4071420638661297,0.08934455784802911,7.0,7.0,0
8,Monaco,2024-05-26,technical,A ALBON,ALB,23,Williams,-0.25316239085591424,9.0,2.0,Lapped,0 days 00:00:54.052000,-0.25420043169218975,2024,8,21.0,lower,2,2,0.3167132957331828,-0.1521442731175646,9.0,9.0,0
8,Monaco,2025-05-25,technical,A ALBON,ALB,23,Williams,-0.07946801506687892,9.0,2.0,Lapped,0 days 00:00:11.869000,-0.0797938574818533,2025,32,21.0,lower,2,2,0.2375881236168542,0.26183657996631027,10.0,10.0,0
9,Canada,2024-06-09,balanced,A ALBON,ALB,23,Williams,-0.07946801506687892,17.0,0.0,Retired,,-0.0797938574818533,2024,9,21.0,lower,2,1,0.7263024219824135,0.36533179323727893,10.0,10.0,0
9,Spain,2025-06-01,balanced,A ALBON,ALB,23,Williams,0.09422636072215637,19.0,0.0,Retired,,0.09461271672848313,2025,33,21.0,lower,2,1,1.160715131640688,0.9173062640157789,11.0,11.0,0
10,Spain,2024-06-23,balanced,A ALBON,ALB,23,Williams,1.657475742823474,18.0,0.0,Lapped,0 days 00:00:58.149000,1.4898653104111745,2024,10,21.0,lower,2,1,1.0496622584949638,0.9173062640157789,20.0,19.0,0
