Final_Championship_Rank,Driver,PredictedRank,Abu_Dhabi_Points,Current_Points,Final_2025_Points
1,L NORRIS,2,18,408,426
2,M VERSTAPPEN,1,25,396,421
3,O PIASTRI,3,15,392,407
4,G RUSSELL,4,12,309,321
5,C LECLERC,5,10,230,240
6,L HAMILTON,16,0,152,152
7,K ANTONELLI,13,0,150,150
8,A ALBON,17,0,73,73
9,C SAINZ,9,2,64,66
10,I HADJAR,7,6,51,57
11,F ALONSO,6,8,48,56
12,N HULKENBERG,18,0,49,49
13,O BEARMAN,14,0,41,41
14,L LAWSON,12,0,38,38
15,Y TSUNODA,8,4,33,37
16,E OCON,11,0,32,32
17,L STROLL,15,0,32,32
18,P GASLY,19,0,22,22
19,G BORTOLETO,10,1,19,20
20,F COLAPINTO,20,0,0,0
